state,district,forecast_time,temperature,humidity,weather,description
Telangana,Adilabad,2026-06-26 00:00:00,24.98,93,Rain,moderate rain
Telangana,Adilabad,2026-06-26 03:00:00,26.04,86,Rain,light rain
Telangana,Adilabad,2026-06-26 06:00:00,29.63,68,Clouds,overcast clouds
Telangana,Adilabad,2026-06-26 09:00:00,31.24,60,Rain,light rain
Telangana,Adilabad,2026-06-26 12:00:00,29.95,68,Rain,moderate rain
Telangana,Adilabad,2026-06-26 15:00:00,27.83,80,Rain,moderate rain
Telangana,Adilabad,2026-06-26 18:00:00,25.93,87,Rain,light rain
Telangana,Adilabad,2026-06-26 21:00:00,25.27,90,Rain,moderate rain
Telangana,Adilabad,2026-06-27 00:00:00,25.02,92,Rain,light rain
Telangana,Adilabad,2026-06-27 03:00:00,26.89,82,Rain,light rain
Telangana,Adilabad,2026-06-27 06:00:00,27.77,76,Rain,light rain
Telangana,Adilabad,2026-06-27 09:00:00,30.16,67,Clouds,overcast clouds
Telangana,Adilabad,2026-06-27 12:00:00,31.11,62,Clouds,broken clouds
Telangana,Adilabad,2026-06-27 15:00:00,28.13,74,Clouds,overcast clouds
Telangana,Adilabad,2026-06-27 18:00:00,26.38,81,Rain,light rain
Telangana,Adilabad,2026-06-27 21:00:00,25.13,88,Rain,moderate rain
Telangana,Adilabad,2026-06-28 00:00:00,25.1,90,Rain,moderate rain
Telangana,Adilabad,2026-06-28 03:00:00,25.14,90,Rain,moderate rain
Telangana,Adilabad,2026-06-28 06:00:00,28.43,76,Rain,light rain
Telangana,Adilabad,2026-06-28 09:00:00,30.2,68,Rain,light rain
Telangana,Adilabad,2026-06-28 12:00:00,29.16,71,Clouds,overcast clouds
Telangana,Adilabad,2026-06-28 15:00:00,26.53,81,Rain,light rain
Telangana,Adilabad,2026-06-28 18:00:00,25.73,82,Rain,light rain
Telangana,Adilabad,2026-06-28 21:00:00,25.68,84,Rain,light rain
Telangana,Adilabad,2026-06-29 00:00:00,25.6,84,Rain,light rain
Telangana,Adilabad,2026-06-29 03:00:00,27.59,77,Rain,light rain
Telangana,Adilabad,2026-06-29 06:00:00,31.83,60,Clouds,overcast clouds
Telangana,Adilabad,2026-06-29 09:00:00,30.27,66,Rain,moderate rain
Telangana,Adilabad,2026-06-29 12:00:00,28.68,76,Rain,light rain
Telangana,Adilabad,2026-06-29 15:00:00,27.9,80,Clouds,overcast clouds
Telangana,Adilabad,2026-06-29 18:00:00,28.0,78,Rain,light rain
Telangana,Adilabad,2026-06-29 21:00:00,27.59,79,Clouds,overcast clouds
Telangana,Adilabad,2026-06-30 00:00:00,27.13,80,Rain,light rain
Telangana,Adilabad,2026-06-30 03:00:00,28.21,74,Rain,light rain
Telangana,Adilabad,2026-06-30 06:00:00,29.1,68,Rain,light rain
Telangana,Adilabad,2026-06-30 09:00:00,30.13,63,Clouds,overcast clouds
Telangana,Adilabad,2026-06-30 12:00:00,28.89,70,Rain,light rain
Telangana,Adilabad,2026-06-30 15:00:00,27.69,76,Clouds,overcast clouds
Telangana,Adilabad,2026-06-30 18:00:00,27.0,77,Rain,light rain
Telangana,Adilabad,2026-06-30 21:00:00,27.2,76,Rain,light rain
Telangana,Bhadradri Kothagudem,2026-06-26 00:00:00,27.99,70,Rain,light rain
Telangana,Bhadradri Kothagudem,2026-06-26 03:00:00,30.58,61,Rain,light rain
Telangana,Bhadradri Kothagudem,2026-06-26 06:00:00,34.26,50,Rain,light rain
Telangana,Bhadradri Kothagudem,2026-06-26 09:00:00,34.8,48,Rain,light rain
Telangana,Bhadradri Kothagudem,2026-06-26 12:00:00,32.18,56,Rain,light rain
Telangana,Bhadradri Kothagudem,2026-06-26 15:00:00,30.82,63,Rain,light rain
Telangana,Bhadradri Kothagudem,2026-06-26 18:00:00,28.4,73,Rain,light rain
Telangana,Bhadradri Kothagudem,2026-06-26 21:00:00,26.93,84,Rain,moderate rain
Telangana,Bhadradri Kothagudem,2026-06-27 00:00:00,25.94,91,Rain,light rain
Telangana,Bhadradri Kothagudem,2026-06-27 03:00:00,26.81,84,Rain,light rain
Telangana,Bhadradri Kothagudem,2026-06-27 06:00:00,29.39,69,Clouds,overcast clouds
Telangana,Bhadradri Kothagudem,2026-06-27 09:00:00,32.65,56,Clouds,broken clouds
Telangana,Bhadradri Kothagudem,2026-06-27 12:00:00,32.74,55,Clouds,broken clouds
Telangana,Bhadradri Kothagudem,2026-06-27 15:00:00,29.8,66,Clouds,scattered clouds
Telangana,Bhadradri Kothagudem,2026-06-27 18:00:00,28.8,70,Clouds,scattered clouds
Telangana,Bhadradri Kothagudem,2026-06-27 21:00:00,26.56,83,Rain,light rain
Telangana,Bhadradri Kothagudem,2026-06-28 00:00:00,26.3,85,Rain,light rain
Telangana,Bhadradri Kothagudem,2026-06-28 03:00:00,29.76,66,Clouds,overcast clouds
Telangana,Bhadradri Kothagudem,2026-06-28 06:00:00,34.15,50,Rain,light rain
Telangana,Bhadradri Kothagudem,2026-06-28 09:00:00,34.36,50,Clouds,overcast clouds
Telangana,Bhadradri Kothagudem,2026-06-28 12:00:00,32.24,58,Clouds,overcast clouds
Telangana,Bhadradri Kothagudem,2026-06-28 15:00:00,30.38,65,Clouds,broken clouds
Telangana,Bhadradri Kothagudem,2026-06-28 18:00:00,29.42,68,Clouds,broken clouds
Telangana,Bhadradri Kothagudem,2026-06-28 21:00:00,29.25,68,Clouds,overcast clouds
Telangana,Bhadradri Kothagudem,2026-06-29 00:00:00,28.43,71,Clouds,overcast clouds
Telangana,Bhadradri Kothagudem,2026-06-29 03:00:00,31.72,56,Clouds,overcast clouds
Telangana,Bhadradri Kothagudem,2026-06-29 06:00:00,35.22,43,Clouds,overcast clouds
Telangana,Bhadradri Kothagudem,2026-06-29 09:00:00,36.18,41,Rain,light rain
Telangana,Bhadradri Kothagudem,2026-06-29 12:00:00,31.65,61,Rain,light rain
Telangana,Bhadradri Kothagudem,2026-06-29 15:00:00,29.6,70,Rain,light rain
Telangana,Bhadradri Kothagudem,2026-06-29 18:00:00,29.12,72,Rain,light rain
Telangana,Bhadradri Kothagudem,2026-06-29 21:00:00,27.92,80,Clouds,overcast clouds
Telangana,Bhadradri Kothagudem,2026-06-30 00:00:00,27.11,80,Rain,moderate rain
Telangana,Bhadradri Kothagudem,2026-06-30 03:00:00,30.71,64,Rain,light rain
Telangana,Bhadradri Kothagudem,2026-06-30 06:00:00,34.09,51,Rain,light rain
Telangana,Bhadradri Kothagudem,2026-06-30 09:00:00,33.95,51,Rain,light rain
Telangana,Bhadradri Kothagudem,2026-06-30 12:00:00,31.88,59,Clouds,overcast clouds
Telangana,Bhadradri Kothagudem,2026-06-30 15:00:00,29.01,71,Clouds,overcast clouds
Telangana,Bhadradri Kothagudem,2026-06-30 18:00:00,27.91,76,Clouds,overcast clouds
Telangana,Bhadradri Kothagudem,2026-06-30 21:00:00,27.88,76,Rain,light rain
Telangana,Hyderabad,2026-06-26 00:00:00,25.61,78,Clouds,overcast clouds
Telangana,Hyderabad,2026-06-26 03:00:00,26.37,72,Rain,light rain
Telangana,Hyderabad,2026-06-26 06:00:00,25.81,73,Rain,light rain
Telangana,Hyderabad,2026-06-26 09:00:00,25.71,72,Rain,light rain
Telangana,Hyderabad,2026-06-26 12:00:00,24.8,77,Rain,light rain
Telangana,Hyderabad,2026-06-26 15:00:00,24.36,80,Clouds,overcast clouds
Telangana,Hyderabad,2026-06-26 18:00:00,24.36,79,Clouds,broken clouds
Telangana,Hyderabad,2026-06-26 21:00:00,24.0,81,Clouds,broken clouds
Telangana,Hyderabad,2026-06-27 00:00:00,24.06,82,Clouds,overcast clouds
Telangana,Hyderabad,2026-06-27 03:00:00,27.13,68,Clouds,overcast clouds
Telangana,Hyderabad,2026-06-27 06:00:00,28.57,63,Rain,light rain
Telangana,Hyderabad,2026-06-27 09:00:00,27.88,64,Rain,light rain
Telangana,Hyderabad,2026-06-27 12:00:00,27.92,62,Clouds,overcast clouds
Telangana,Hyderabad,2026-06-27 15:00:00,25.84,71,Clouds,overcast clouds
Telangana,Hyderabad,2026-06-27 18:00:00,25.37,72,Clouds,overcast clouds
Telangana,Hyderabad,2026-06-27 21:00:00,25.37,72,Rain,light rain
Telangana,Hyderabad,2026-06-28 00:00:00,25.42,71,Rain,light rain
Telangana,Hyderabad,2026-06-28 03:00:00,27.34,63,Clouds,overcast clouds
Telangana,Hyderabad,2026-06-28 06:00:00,31.87,45,Clouds,broken clouds
Telangana,Hyderabad,2026-06-28 09:00:00,32.69,44,Clouds,broken clouds
Telangana,Hyderabad,2026-06-28 12:00:00,30.77,52,Clouds,overcast clouds
Telangana,Hyderabad,2026-06-28 15:00:00,28.79,61,Clouds,broken clouds
Telangana,Hyderabad,2026-06-28 18:00:00,27.34,69,Rain,light rain
Telangana,Hyderabad,2026-06-28 21:00:00,26.6,71,Rain,light rain
Telangana,Hyderabad,2026-06-29 00:00:00,26.21,71,Clouds,overcast clouds
Telangana,Hyderabad,2026-06-29 03:00:00,28.74,60,Clouds,overcast clouds
Telangana,Hyderabad,2026-06-29 06:00:00,32.46,48,Clouds,overcast clouds
Telangana,Hyderabad,2026-06-29 09:00:00,31.45,49,Rain,light rain
Telangana,Hyderabad,2026-06-29 12:00:00,29.45,58,Rain,light rain
Telangana,Hyderabad,2026-06-29 15:00:00,28.87,61,Rain,light rain
Telangana,Hyderabad,2026-06-29 18:00:00,28.34,63,Clouds,overcast clouds
Telangana,Hyderabad,2026-06-29 21:00:00,26.7,68,Rain,light rain
Telangana,Hyderabad,2026-06-30 00:00:00,25.53,76,Rain,light rain
Telangana,Hyderabad,2026-06-30 03:00:00,26.42,71,Rain,light rain
Telangana,Hyderabad,2026-06-30 06:00:00,29.34,58,Clouds,overcast clouds
Telangana,Hyderabad,2026-06-30 09:00:00,31.53,50,Clouds,overcast clouds
Telangana,Hyderabad,2026-06-30 12:00:00,29.62,55,Clouds,overcast clouds
Telangana,Hyderabad,2026-06-30 15:00:00,28.08,62,Clouds,overcast clouds
Telangana,Hyderabad,2026-06-30 18:00:00,28.0,63,Clouds,overcast clouds
Telangana,Hyderabad,2026-06-30 21:00:00,26.01,73,Clouds,overcast clouds
Telangana,Jagtial,2026-06-26 00:00:00,25.12,89,Clouds,overcast clouds
Telangana,Jagtial,2026-06-26 03:00:00,26.5,80,Clouds,overcast clouds
Telangana,Jagtial,2026-06-26 06:00:00,31.06,59,Rain,light rain
Telangana,Jagtial,2026-06-26 09:00:00,29.85,65,Rain,light rain
Telangana,Jagtial,2026-06-26 12:00:00,29.87,64,Rain,light rain
Telangana,Jagtial,2026-06-26 15:00:00,27.6,74,Clouds,broken clouds
Telangana,Jagtial,2026-06-26 18:00:00,25.95,80,Rain,light rain
Telangana,Jagtial,2026-06-26 21:00:00,25.18,85,Rain,light rain
Telangana,Jagtial,2026-06-27 00:00:00,24.45,89,Rain,light rain
Telangana,Jagtial,2026-06-27 03:00:00,24.85,90,Rain,moderate rain
Telangana,Jagtial,2026-06-27 06:00:00,25.51,87,Rain,light rain
Telangana,Jagtial,2026-06-27 09:00:00,28.76,71,Rain,light rain
Telangana,Jagtial,2026-06-27 12:00:00,28.79,69,Clouds,overcast clouds
Telangana,Jagtial,2026-06-27 15:00:00,25.83,84,Clouds,overcast clouds
Telangana,Jagtial,2026-06-27 18:00:00,25.28,85,Rain,light rain
Telangana,Jagtial,2026-06-27 21:00:00,24.21,90,Rain,moderate rain
Telangana,Jagtial,2026-06-28 00:00:00,24.1,90,Rain,moderate rain
Telangana,Jagtial,2026-06-28 03:00:00,24.53,90,Rain,light rain
Telangana,Jagtial,2026-06-28 06:00:00,28.51,73,Clouds,overcast clouds
Telangana,Jagtial,2026-06-28 09:00:00,30.6,62,Clouds,overcast clouds
Telangana,Jagtial,2026-06-28 12:00:00,30.5,60,Clouds,overcast clouds
Telangana,Jagtial,2026-06-28 15:00:00,26.67,75,Clouds,overcast clouds
Telangana,Jagtial,2026-06-28 18:00:00,25.65,79,Rain,light rain
Telangana,Jagtial,2026-06-28 21:00:00,25.19,83,Rain,light rain
Telangana,Jagtial,2026-06-29 00:00:00,25.02,86,Rain,light rain
Telangana,Jagtial,2026-06-29 03:00:00,25.89,81,Clouds,overcast clouds
Telangana,Jagtial,2026-06-29 06:00:00,29.9,65,Rain,light rain
Telangana,Jagtial,2026-06-29 09:00:00,30.49,62,Clouds,overcast clouds
Telangana,Jagtial,2026-06-29 12:00:00,28.95,70,Clouds,overcast clouds
Telangana,Jagtial,2026-06-29 15:00:00,28.06,72,Clouds,overcast clouds
Telangana,Jagtial,2026-06-29 18:00:00,27.66,73,Clouds,overcast clouds
Telangana,Jagtial,2026-06-29 21:00:00,25.08,88,Rain,moderate rain
